dataset,model,paradigm,group_col,group_value,n,accuracy,error_rate,n_cases,group_value_label
BPI17,llama32-1b,llm,prefix_length_bucket,4-5,105,0.8285714285714286,0.1714285714285713,104,
BPI17,llama32-1b,llm,prefix_length_bucket,6-10,248,0.7782258064516129,0.2217741935483871,245,
BPI17,llama32-1b,llm,prefix_length_bucket,>50,130,0.7692307692307693,0.2307692307692307,122,
BPI17,rnn,sequence,prefix_length_bucket,1,43,0.7209302325581395,0.2790697674418605,43,
BPI17,rnn,sequence,prefix_length_bucket,11-20,545,0.8935779816513761,0.1064220183486238,525,
BPI17,rnn,sequence,prefix_length_bucket,2,49,1.0,0.0,49,
BPI17,rnn,sequence,prefix_length_bucket,21-50,836,0.8444976076555024,0.1555023923444976,769,
BPI17,rnn,sequence,prefix_length_bucket,3,44,1.0,0.0,44,
BPI17,rnn,sequence,prefix_length_bucket,4-5,105,0.8476190476190476,0.1523809523809524,104,
BPI17,rnn,sequence,prefix_length_bucket,6-10,248,0.8346774193548387,0.1653225806451612,245,
BPI17,rnn,sequence,prefix_length_bucket,>50,130,0.7769230769230769,0.223076923076923,122,
BPI17,saprpt,tabular_fm,prefix_length_bucket,1,43,0.7441860465116279,0.2558139534883721,43,
BPI17,saprpt,tabular_fm,prefix_length_bucket,11-20,545,0.6165137614678899,0.38348623853211,525,
BPI17,saprpt,tabular_fm,prefix_length_bucket,2,49,0.9387755102040816,0.0612244897959183,49,
BPI17,saprpt,tabular_fm,prefix_length_bucket,21-50,836,0.5897129186602871,0.4102870813397129,769,
BPI17,saprpt,tabular_fm,prefix_length_bucket,3,44,0.2272727272727272,0.7727272727272727,44,
BPI17,saprpt,tabular_fm,prefix_length_bucket,4-5,105,0.6095238095238096,0.3904761904761904,104,
BPI17,saprpt,tabular_fm,prefix_length_bucket,6-10,248,0.7459677419354839,0.2540322580645161,245,
BPI17,saprpt,tabular_fm,prefix_length_bucket,>50,130,0.5538461538461539,0.4461538461538461,122,
BPI17,tabpfn3,tabular_fm,prefix_length_bucket,1,43,0.7209302325581395,0.2790697674418605,43,
BPI17,tabpfn3,tabular_fm,prefix_length_bucket,11-20,545,0.6440366972477064,0.3559633027522936,525,
BPI17,tabpfn3,tabular_fm,prefix_length_bucket,2,49,0.979591836734694,0.0204081632653061,49,
BPI17,tabpfn3,tabular_fm,prefix_length_bucket,21-50,836,0.6196172248803827,0.3803827751196172,769,
BPI17,tabpfn3,tabular_fm,prefix_length_bucket,3,44,0.7045454545454546,0.2954545454545454,44,
BPI17,tabpfn3,tabular_fm,prefix_length_bucket,4-5,105,0.3619047619047619,0.638095238095238,104,
BPI17,tabpfn3,tabular_fm,prefix_length_bucket,6-10,248,0.8104838709677419,0.1895161290322581,245,
BPI17,tabpfn3,tabular_fm,prefix_length_bucket,>50,130,0.6230769230769231,0.3769230769230769,122,
BPI17,transformer,sequence,prefix_length_bucket,1,43,0.4651162790697674,0.5348837209302326,43,
BPI17,transformer,sequence,prefix_length_bucket,11-20,545,0.8935779816513761,0.1064220183486238,525,
BPI17,transformer,sequence,prefix_length_bucket,2,49,1.0,0.0,49,
BPI17,transformer,sequence,prefix_length_bucket,21-50,836,0.8289473684210527,0.1710526315789473,769,
BPI17,transformer,sequence,prefix_length_bucket,3,44,1.0,0.0,44,
BPI17,transformer,sequence,prefix_length_bucket,4-5,105,0.8761904761904762,0.1238095238095238,104,
BPI17,transformer,sequence,prefix_length_bucket,6-10,248,0.8790322580645161,0.1209677419354838,245,
BPI17,transformer,sequence,prefix_length_bucket,>50,130,0.7769230769230769,0.223076923076923,122,
BPI20PrepaidTravelCosts,gemma-2-2b,llm,prefix_length_bucket,1,211,0.1327014218009478,0.8672985781990521,211,
BPI20PrepaidTravelCosts,gemma-2-2b,llm,prefix_length_bucket,11-20,94,0.925531914893617,0.074468085106383,64,
BPI20PrepaidTravelCosts,gemma-2-2b,llm,prefix_length_bucket,2,219,0.4018264840182648,0.5981735159817352,219,
BPI20PrepaidTravelCosts,gemma-2-2b,llm,prefix_length_bucket,3,203,0.7931034482758621,0.2068965517241379,203,
BPI20PrepaidTravelCosts,gemma-2-2b,llm,prefix_length_bucket,4-5,445,0.5235955056179775,0.4764044943820225,356,
BPI20PrepaidTravelCosts,gemma-2-2b,llm,prefix_length_bucket,6-10,828,0.783816425120773,0.216183574879227,451,
BPI20PrepaidTravelCosts,llama32-1b,llm,prefix_length_bucket,1,211,0.5402843601895735,0.4597156398104265,211,
BPI20PrepaidTravelCosts,llama32-1b,llm,prefix_length_bucket,11-20,94,0.8297872340425532,0.1702127659574468,64,
BPI20PrepaidTravelCosts,llama32-1b,llm,prefix_length_bucket,2,219,0.2328767123287671,0.7671232876712328,219,
BPI20PrepaidTravelCosts,llama32-1b,llm,prefix_length_bucket,3,203,0.4876847290640394,0.5123152709359606,203,
BPI20PrepaidTravelCosts,llama32-1b,llm,prefix_length_bucket,4-5,445,0.604494382022472,0.395505617977528,356,
BPI20PrepaidTravelCosts,llama32-1b,llm,prefix_length_bucket,6-10,828,0.7367149758454107,0.2632850241545893,451,
BPI20PrepaidTravelCosts,rnn,sequence,prefix_length_bucket,1,211,0.3507109004739336,0.6492890995260663,211,
BPI20PrepaidTravelCosts,rnn,sequence,prefix_length_bucket,11-20,94,0.9680851063829788,0.0319148936170212,64,
BPI20PrepaidTravelCosts,rnn,sequence,prefix_length_bucket,2,219,0.3926940639269406,0.6073059360730594,219,
BPI20PrepaidTravelCosts,rnn,sequence,prefix_length_bucket,3,203,0.8817733990147784,0.1182266009852216,203,
BPI20PrepaidTravelCosts,rnn,sequence,prefix_length_bucket,4-5,445,0.8314606741573034,0.1685393258426966,356,
BPI20PrepaidTravelCosts,rnn,sequence,prefix_length_bucket,6-10,828,0.9263285024154588,0.073671497584541,451,
BPI20PrepaidTravelCosts,saprpt,tabular_fm,prefix_length_bucket,1,211,0.966824644549763,0.0331753554502369,211,
BPI20PrepaidTravelCosts,saprpt,tabular_fm,prefix_length_bucket,11-20,94,0.8723404255319149,0.127659574468085,64,
BPI20PrepaidTravelCosts,saprpt,tabular_fm,prefix_length_bucket,2,219,0.3972602739726027,0.6027397260273972,219,
BPI20PrepaidTravelCosts,saprpt,tabular_fm,prefix_length_bucket,3,203,0.8866995073891626,0.1133004926108374,203,
BPI20PrepaidTravelCosts,saprpt,tabular_fm,prefix_length_bucket,4-5,445,0.5842696629213483,0.4157303370786517,356,
BPI20PrepaidTravelCosts,saprpt,tabular_fm,prefix_length_bucket,6-10,828,0.8128019323671497,0.1871980676328503,451,
BPI20PrepaidTravelCosts,tabpfn3,tabular_fm,prefix_length_bucket,1,211,0.2227488151658767,0.7772511848341233,211,
BPI20PrepaidTravelCosts,tabpfn3,tabular_fm,prefix_length_bucket,11-20,94,0.8723404255319149,0.127659574468085,64,
BPI20PrepaidTravelCosts,tabpfn3,tabular_fm,prefix_length_bucket,2,219,0.4155251141552511,0.5844748858447488,219,
BPI20PrepaidTravelCosts,tabpfn3,tabular_fm,prefix_length_bucket,3,203,0.8177339901477833,0.1822660098522167,203,
BPI20PrepaidTravelCosts,tabpfn3,tabular_fm,prefix_length_bucket,4-5,445,0.5146067415730337,0.4853932584269663,356,
BPI20PrepaidTravelCosts,tabpfn3,tabular_fm,prefix_length_bucket,6-10,828,0.8031400966183575,0.1968599033816425,451,
BPI20PrepaidTravelCosts,transformer,sequence,prefix_length_bucket,1,211,0.4928909952606635,0.5071090047393365,211,
BPI20PrepaidTravelCosts,transformer,sequence,prefix_length_bucket,11-20,94,0.946808510638298,0.0531914893617021,64,
BPI20PrepaidTravelCosts,transformer,sequence,prefix_length_bucket,2,219,0.410958904109589,0.589041095890411,219,
BPI20PrepaidTravelCosts,transformer,sequence,prefix_length_bucket,3,203,0.8275862068965517,0.1724137931034483,203,
BPI20PrepaidTravelCosts,transformer,sequence,prefix_length_bucket,4-5,445,0.8157303370786517,0.1842696629213482,356,
BPI20PrepaidTravelCosts,transformer,sequence,prefix_length_bucket,6-10,828,0.8997584541062802,0.1002415458937198,451,
BPI20RequestForPayment,gemma-2-2b,llm,prefix_length_bucket,1,367,0.8828337874659401,0.1171662125340599,367,
BPI20RequestForPayment,gemma-2-2b,llm,prefix_length_bucket,2,372,0.5913978494623656,0.4086021505376344,372,
BPI20RequestForPayment,gemma-2-2b,llm,prefix_length_bucket,3,371,0.9164420485175202,0.0835579514824798,371,
BPI20RequestForPayment,gemma-2-2b,llm,prefix_length_bucket,4-5,664,0.9698795180722892,0.0301204819277108,583,
BPI20RequestForPayment,gemma-2-2b,llm,prefix_length_bucket,6-10,222,0.972972972972973,0.0270270270270269,188,
BPI20RequestForPayment,llama32-1b,llm,prefix_length_bucket,1,367,0.8828337874659401,0.1171662125340599,367,
BPI20RequestForPayment,llama32-1b,llm,prefix_length_bucket,2,372,0.4758064516129032,0.5241935483870968,372,
BPI20RequestForPayment,llama32-1b,llm,prefix_length_bucket,3,371,0.921832884097035,0.0781671159029649,371,
BPI20RequestForPayment,llama32-1b,llm,prefix_length_bucket,4-5,664,0.9653614457831324,0.0346385542168674,583,
BPI20RequestForPayment,llama32-1b,llm,prefix_length_bucket,6-10,222,0.9774774774774776,0.0225225225225225,188,
BPI20RequestForPayment,rnn,sequence,prefix_length_bucket,1,367,0.8801089918256131,0.1198910081743869,367,
BPI20RequestForPayment,rnn,sequence,prefix_length_bucket,2,372,0.6559139784946236,0.3440860215053763,372,
BPI20RequestForPayment,rnn,sequence,prefix_length_bucket,3,371,0.9272237196765498,0.0727762803234501,371,
BPI20RequestForPayment,rnn,sequence,prefix_length_bucket,4-5,664,0.9894578313253012,0.0105421686746988,583,
BPI20RequestForPayment,rnn,sequence,prefix_length_bucket,6-10,222,0.9684684684684683,0.0315315315315315,188,
BPI20RequestForPayment,saprpt,tabular_fm,prefix_length_bucket,1,367,0.0762942779291553,0.9237057220708448,367,
BPI20RequestForPayment,saprpt,tabular_fm,prefix_length_bucket,2,372,0.6532258064516129,0.3467741935483871,372,
BPI20RequestForPayment,saprpt,tabular_fm,prefix_length_bucket,3,371,0.9272237196765498,0.0727762803234501,371,
BPI20RequestForPayment,saprpt,tabular_fm,prefix_length_bucket,4-5,664,0.9849397590361446,0.0150602409638553,583,
BPI20RequestForPayment,saprpt,tabular_fm,prefix_length_bucket,6-10,222,0.9684684684684683,0.0315315315315315,188,
BPI20RequestForPayment,tabpfn3,tabular_fm,prefix_length_bucket,1,367,0.0517711171662125,0.9482288828337876,367,
BPI20RequestForPayment,tabpfn3,tabular_fm,prefix_length_bucket,2,372,0.6559139784946236,0.3440860215053763,372,
BPI20RequestForPayment,tabpfn3,tabular_fm,prefix_length_bucket,3,371,0.9326145552560648,0.0673854447439352,371,
BPI20RequestForPayment,tabpfn3,tabular_fm,prefix_length_bucket,4-5,664,0.9487951807228916,0.0512048192771084,583,
BPI20RequestForPayment,tabpfn3,tabular_fm,prefix_length_bucket,6-10,222,0.963963963963964,0.036036036036036,188,
BPI20RequestForPayment,transformer,sequence,prefix_length_bucket,1,367,0.8828337874659401,0.1171662125340599,367,
BPI20RequestForPayment,transformer,sequence,prefix_length_bucket,2,372,0.6559139784946236,0.3440860215053763,372,
BPI20RequestForPayment,transformer,sequence,prefix_length_bucket,3,371,0.9299191374663072,0.0700808625336927,371,
BPI20RequestForPayment,transformer,sequence,prefix_length_bucket,4-5,664,0.9894578313253012,0.0105421686746988,583,
BPI20RequestForPayment,transformer,sequence,prefix_length_bucket,6-10,222,0.972972972972973,0.0270270270270269,188,
BPI20TravelPermitData,gemma-2-2b,llm,prefix_length_bucket,1,151,0.271523178807947,0.7284768211920529,151,
BPI20TravelPermitData,gemma-2-2b,llm,prefix_length_bucket,11-20,403,0.7816377171215881,0.2183622828784118,343,
BPI20TravelPermitData,gemma-2-2b,llm,prefix_length_bucket,2,153,0.5294117647058824,0.4705882352941176,153,
BPI20TravelPermitData,gemma-2-2b,llm,prefix_length_bucket,21-50,71,0.6197183098591549,0.3802816901408451,54,
BPI20TravelPermitData,gemma-2-2b,llm,prefix_length_bucket,3,170,0.7705882352941177,0.2294117647058823,170,
BPI20TravelPermitData,gemma-2-2b,llm,prefix_length_bucket,4-5,340,0.7,0.3,329,
BPI20TravelPermitData,gemma-2-2b,llm,prefix_length_bucket,6-10,706,0.6586402266288952,0.3413597733711048,637,
BPI20TravelPermitData,llama32-1b,llm,prefix_length_bucket,1,151,0.9602649006622516,0.0397350993377483,151,
BPI20TravelPermitData,llama32-1b,llm,prefix_length_bucket,11-20,403,0.7841191066997518,0.2158808933002481,343,
BPI20TravelPermitData,llama32-1b,llm,prefix_length_bucket,2,153,0.477124183006536,0.522875816993464,153,
BPI20TravelPermitData,llama32-1b,llm,prefix_length_bucket,21-50,71,0.6197183098591549,0.3802816901408451,54,
BPI20TravelPermitData,llama32-1b,llm,prefix_length_bucket,3,170,0.7823529411764706,0.2176470588235294,170,
BPI20TravelPermitData,llama32-1b,llm,prefix_length_bucket,4-5,340,0.6970588235294117,0.3029411764705882,329,
BPI20TravelPermitData,llama32-1b,llm,prefix_length_bucket,6-10,706,0.7379603399433428,0.2620396600566572,637,
BPI20TravelPermitData,rnn,sequence,prefix_length_bucket,1,151,0.1258278145695364,0.8741721854304636,151,
BPI20TravelPermitData,rnn,sequence,prefix_length_bucket,11-20,403,0.8709677419354839,0.1290322580645161,343,
BPI20TravelPermitData,rnn,sequence,prefix_length_bucket,2,153,0.5359477124183006,0.4640522875816993,153,
BPI20TravelPermitData,rnn,sequence,prefix_length_bucket,21-50,71,0.6619718309859155,0.3380281690140845,54,
BPI20TravelPermitData,rnn,sequence,prefix_length_bucket,3,170,0.7647058823529411,0.2352941176470588,170,
BPI20TravelPermitData,rnn,sequence,prefix_length_bucket,4-5,340,0.7735294117647059,0.2264705882352941,329,
BPI20TravelPermitData,rnn,sequence,prefix_length_bucket,6-10,706,0.8271954674220963,0.1728045325779037,637,
BPI20TravelPermitData,saprpt,tabular_fm,prefix_length_bucket,1,151,0.2847682119205298,0.7152317880794702,151,
BPI20TravelPermitData,saprpt,tabular_fm,prefix_length_bucket,11-20,403,0.8014888337468983,0.1985111662531017,343,
BPI20TravelPermitData,saprpt,tabular_fm,prefix_length_bucket,2,153,0.4705882352941176,0.5294117647058824,153,
BPI20TravelPermitData,saprpt,tabular_fm,prefix_length_bucket,21-50,71,0.6197183098591549,0.3802816901408451,54,
BPI20TravelPermitData,saprpt,tabular_fm,prefix_length_bucket,3,170,0.7764705882352941,0.2235294117647058,170,
BPI20TravelPermitData,saprpt,tabular_fm,prefix_length_bucket,4-5,340,0.6823529411764706,0.3176470588235294,329,
BPI20TravelPermitData,saprpt,tabular_fm,prefix_length_bucket,6-10,706,0.7096317280453258,0.2903682719546742,637,
BPI20TravelPermitData,tabpfn3,tabular_fm,prefix_length_bucket,1,151,0.2913907284768212,0.7086092715231789,151,
BPI20TravelPermitData,tabpfn3,tabular_fm,prefix_length_bucket,11-20,403,0.7270471464019851,0.2729528535980149,343,
BPI20TravelPermitData,tabpfn3,tabular_fm,prefix_length_bucket,2,153,0.5032679738562091,0.4967320261437908,153,
BPI20TravelPermitData,tabpfn3,tabular_fm,prefix_length_bucket,21-50,71,0.6056338028169014,0.3943661971830986,54,
BPI20TravelPermitData,tabpfn3,tabular_fm,prefix_length_bucket,3,170,0.7529411764705882,0.2470588235294117,170,
BPI20TravelPermitData,tabpfn3,tabular_fm,prefix_length_bucket,4-5,340,0.6147058823529412,0.3852941176470588,329,
BPI20TravelPermitData,tabpfn3,tabular_fm,prefix_length_bucket,6-10,706,0.5793201133144475,0.4206798866855524,637,
BPI20TravelPermitData,transformer,sequence,prefix_length_bucket,1,151,0.0331125827814569,0.9668874172185432,151,
BPI20TravelPermitData,transformer,sequence,prefix_length_bucket,11-20,403,0.8784119106699751,0.1215880893300248,343,
BPI20TravelPermitData,transformer,sequence,prefix_length_bucket,2,153,0.5294117647058824,0.4705882352941176,153,
BPI20TravelPermitData,transformer,sequence,prefix_length_bucket,21-50,71,0.7746478873239436,0.2253521126760563,54,
BPI20TravelPermitData,transformer,sequence,prefix_length_bucket,3,170,0.7705882352941177,0.2294117647058823,170,
BPI20TravelPermitData,transformer,sequence,prefix_length_bucket,4-5,340,0.7529411764705882,0.2470588235294117,329,
BPI20TravelPermitData,transformer,sequence,prefix_length_bucket,6-10,706,0.7974504249291785,0.2025495750708215,637,
BPI12,gemma-2-2b,llm,relative_prefix_bucket,0-20%,331,0.6797583081570997,0.3202416918429003,299,
BPI12,gemma-2-2b,llm,relative_prefix_bucket,20-40%,404,0.5594059405940595,0.4405940594059405,366,
BPI12,gemma-2-2b,llm,relative_prefix_bucket,40-60%,385,0.5454545454545454,0.4545454545454546,342,
BPI12,gemma-2-2b,llm,relative_prefix_bucket,60-80%,423,0.5200945626477541,0.4799054373522459,377,
BPI12,gemma-2-2b,llm,relative_prefix_bucket,80-100%,457,0.5273522975929978,0.4726477024070021,402,
BPI12,llama32-1b,llm,relative_prefix_bucket,0-20%,331,0.716012084592145,0.2839879154078549,299,
BPI12,llama32-1b,llm,relative_prefix_bucket,20-40%,404,0.6806930693069307,0.3193069306930692,366,
BPI12,llama32-1b,llm,relative_prefix_bucket,40-60%,385,0.6181818181818182,0.3818181818181818,342,
BPI12,llama32-1b,llm,relative_prefix_bucket,60-80%,423,0.5130023640661938,0.4869976359338062,377,
BPI12,llama32-1b,llm,relative_prefix_bucket,80-100%,457,0.3938730853391685,0.6061269146608315,402,
BPI12,rnn,sequence,relative_prefix_bucket,0-20%,331,0.7401812688821753,0.2598187311178247,299,
BPI12,rnn,sequence,relative_prefix_bucket,20-40%,404,0.745049504950495,0.2549504950495049,366,
BPI12,rnn,sequence,relative_prefix_bucket,40-60%,385,0.8441558441558441,0.1558441558441559,342,
BPI12,rnn,sequence,relative_prefix_bucket,60-80%,423,0.8156028368794326,0.1843971631205674,377,
BPI12,rnn,sequence,relative_prefix_bucket,80-100%,457,0.649890590809628,0.350109409190372,402,
BPI12,saprpt,tabular_fm,relative_prefix_bucket,0-20%,331,0.8006042296072508,0.1993957703927492,299,
BPI12,saprpt,tabular_fm,relative_prefix_bucket,20-40%,404,0.6361386138613861,0.3638613861386138,366,
BPI12,saprpt,tabular_fm,relative_prefix_bucket,40-60%,385,0.6805194805194805,0.3194805194805195,342,
BPI12,saprpt,tabular_fm,relative_prefix_bucket,60-80%,423,0.6903073286052009,0.309692671394799,377,
BPI12,saprpt,tabular_fm,relative_prefix_bucket,80-100%,457,0.4113785557986871,0.5886214442013129,402,
BPI12,tabpfn3,tabular_fm,relative_prefix_bucket,0-20%,331,0.7552870090634441,0.2447129909365558,299,
BPI12,tabpfn3,tabular_fm,relative_prefix_bucket,20-40%,404,0.655940594059406,0.344059405940594,366,
BPI12,tabpfn3,tabular_fm,relative_prefix_bucket,40-60%,385,0.6571428571428571,0.3428571428571428,342,
BPI12,tabpfn3,tabular_fm,relative_prefix_bucket,60-80%,423,0.706855791962175,0.293144208037825,377,
BPI12,tabpfn3,tabular_fm,relative_prefix_bucket,80-100%,457,0.4595185995623632,0.5404814004376368,402,
BPI12,transformer,sequence,relative_prefix_bucket,0-20%,331,0.797583081570997,0.202416918429003,299,
BPI12,transformer,sequence,relative_prefix_bucket,20-40%,404,0.8193069306930693,0.1806930693069307,366,
BPI12,transformer,sequence,relative_prefix_bucket,40-60%,385,0.7714285714285715,0.2285714285714285,342,
BPI12,transformer,sequence,relative_prefix_bucket,60-80%,423,0.6879432624113475,0.3120567375886525,377,
BPI12,transformer,sequence,relative_prefix_bucket,80-100%,457,0.700218818380744,0.299781181619256,402,
BPI17,gemma-2-2b,llm,relative_prefix_bucket,0-20%,339,0.8761061946902655,0.1238938053097344,326,
BPI17,gemma-2-2b,llm,relative_prefix_bucket,20-40%,407,0.85995085995086,0.14004914004914,401,
BPI17,gemma-2-2b,llm,relative_prefix_bucket,40-60%,403,0.8411910669975186,0.1588089330024814,388,
BPI17,gemma-2-2b,llm,relative_prefix_bucket,60-80%,410,0.8048780487804879,0.1951219512195121,401,
BPI17,gemma-2-2b,llm,relative_prefix_bucket,80-100%,441,0.7573696145124716,0.2426303854875283,429,
BPI17,llama32-1b,llm,relative_prefix_bucket,0-20%,339,0.7728613569321534,0.2271386430678466,326,
BPI17,llama32-1b,llm,relative_prefix_bucket,20-40%,407,0.8378378378378378,0.1621621621621621,401,
BPI17,llama32-1b,llm,relative_prefix_bucket,40-60%,403,0.8312655086848635,0.1687344913151365,388,
BPI17,llama32-1b,llm,relative_prefix_bucket,60-80%,410,0.8170731707317073,0.1829268292682927,401,
BPI17,llama32-1b,llm,relative_prefix_bucket,80-100%,441,0.7324263038548753,0.2675736961451247,429,
BPI17,rnn,sequence,relative_prefix_bucket,0-20%,339,0.8643067846607669,0.135693215339233,326,
BPI17,rnn,sequence,relative_prefix_bucket,20-40%,407,0.855036855036855,0.144963144963145,401,
BPI17,rnn,sequence,relative_prefix_bucket,40-60%,403,0.9007444168734492,0.0992555831265509,388,
BPI17,rnn,sequence,relative_prefix_bucket,60-80%,410,0.8829268292682927,0.1170731707317073,401,
BPI17,rnn,sequence,relative_prefix_bucket,80-100%,441,0.7891156462585034,0.2108843537414966,429,
BPI17,saprpt,tabular_fm,relative_prefix_bucket,0-20%,339,0.6696165191740413,0.3303834808259587,326,
BPI17,saprpt,tabular_fm,relative_prefix_bucket,20-40%,407,0.6412776412776413,0.3587223587223587,401,
BPI17,saprpt,tabular_fm,relative_prefix_bucket,40-60%,403,0.6203473945409429,0.3796526054590571,388,
BPI17,saprpt,tabular_fm,relative_prefix_bucket,60-80%,410,0.6463414634146342,0.3536585365853658,401,
