dataset,model,path,exists,row_count_raw,row_count_normalized,warnings
BPI20PrepaidTravelCosts,gemma-2-2b,/ceph/lfertig/Paper/revisiting-ppm-foundation-models/notebook/llm-peft-ppm/results/predictions/BPI20PrepaidTravelCosts/gemma-2-2b/seed_41.parquet,True,5050,5050,
BPI20TravelPermitData,rnn,/ceph/lfertig/Paper/revisiting-ppm-foundation-models/notebook/llm-peft-ppm/results/predictions/BPI20TravelPermitData/rnn/seed_41.parquet,True,32390,32390,
BPI20TravelPermitData,transformer,/ceph/lfertig/Paper/revisiting-ppm-foundation-models/notebook/llm-peft-ppm/results/predictions/BPI20TravelPermitData/transformer/seed_41.parquet,True,32390,32390,
BPI20TravelPermitData,tabpfn3,/ceph/lfertig/Paper/revisiting-ppm-foundation-models/notebook/llm-peft-ppm/results/predictions/BPI20TravelPermitData/tabpfn3/seed_41.parquet,True,2000,2000,
BPI20TravelPermitData,saprpt,/ceph/lfertig/Paper/revisiting-ppm-foundation-models/notebook/llm-peft-ppm/results/predictions/BPI20TravelPermitData/saprpt/seed_41.parquet,True,2000,2000,
BPI20TravelPermitData,llama32-1b,/ceph/lfertig/Paper/revisiting-ppm-foundation-models/notebook/llm-peft-ppm/results/predictions/BPI20TravelPermitData/llama32-1b/seed_41.parquet,True,32390,32390,
BPI20TravelPermitData,gemma-2-2b,/ceph/lfertig/Paper/revisiting-ppm-foundation-models/notebook/llm-peft-ppm/results/predictions/BPI20TravelPermitData/gemma-2-2b/seed_41.parquet,True,32390,32390,
BPI20RequestForPayment,rnn,/ceph/lfertig/Paper/revisiting-ppm-foundation-models/notebook/llm-peft-ppm/results/predictions/BPI20RequestForPayment/rnn/seed_41.parquet,True,7041,7041,
BPI20RequestForPayment,transformer,/ceph/lfertig/Paper/revisiting-ppm-foundation-models/notebook/llm-peft-ppm/results/predictions/BPI20RequestForPayment/transformer/seed_41.parquet,True,7041,7041,
BPI20RequestForPayment,tabpfn3,/ceph/lfertig/Paper/revisiting-ppm-foundation-models/notebook/llm-peft-ppm/results/predictions/BPI20RequestForPayment/tabpfn3/seed_41.parquet,True,2000,2000,
BPI20RequestForPayment,saprpt,/ceph/lfertig/Paper/revisiting-ppm-foundation-models/notebook/llm-peft-ppm/results/predictions/BPI20RequestForPayment/saprpt/seed_41.parquet,True,2000,2000,
BPI20RequestForPayment,llama32-1b,/ceph/lfertig/Paper/revisiting-ppm-foundation-models/notebook/llm-peft-ppm/results/predictions/BPI20RequestForPayment/llama32-1b/seed_41.parquet,True,7041,7041,
BPI20RequestForPayment,gemma-2-2b,/ceph/lfertig/Paper/revisiting-ppm-foundation-models/notebook/llm-peft-ppm/results/predictions/BPI20RequestForPayment/gemma-2-2b/seed_41.parquet,True,7041,7041,
